case,graph_path,n_nodes,n_edges,density,gini_in_degree,hhi_in_degree,in_deg_centralization,assort_stance,avg_clustering,communities_louvain,modularity_louvain,directed,top1_share,top5_share,top10_share,gini_daily,hhi_daily,peak_div_median_daily,peak_div_p90_daily,gini_hourly,hhi_hourly,peak_div_median_hourly,peak_div_p90_hourly
eduardo_bueno,data/processed\eduardo_bueno\edges.gexf,798,848,0.0013333207548356463,0.5430675745968695,0.00458626290494838,0.02130476724904321,,0.03127910059510557,97,0.75633754391642,True,0.02122641509433962,0.09080188679245282,0.14976415094339623,,,,,,,,
karol_conka,data/processed\karol_conka\edges.gexf,318,304,0.0030156935103069263,0.41728732207878205,0.017377943213296398,0.1080741125264545,,0.0,31,0.6534655240417372,True,0.11513157894736842,0.17434210526315788,0.2138157894736842,0.9663111111111112,0.9920248888888888,0.0,7469.999999999894,0.9943489361702127,0.23127822222222222,0.0,0.0
monark,data/processed\monark\edges.gexf,4035,5212,0.0003202026885475933,0.7933820627452994,0.04850420453655268,0.27348912866963565,,0.04027433338554898,587,0.790807560329256,True,0.21181887950882577,0.29470452801227937,0.3697237145049885,,,,,,,,
wagner,data/processed\wagner\edges.gexf,1352,1253,0.0006859919673789742,0.7683246598695674,0.03992270108005752,0.17722235929489816,,0.007564711794645824,230,0.8998227477170938,True,0.19154030327214686,0.2601755786113328,0.3056664006384677,,,,,,,,
abm_run_001,data/simulated\abm_run_001\edges.gexf,88,92,0.012016718913270637,0.5338438735177866,0.022920604914933834,0.03475006682705159,,0.01515151515151515,13,0.7478565390653302,True,0.043478260869565216,0.1956521739130435,0.33695652173913043,,,,,,,,
