N,metric,mean,std,p2.5,p97.5,count
50,n_nodes,50.0,0.0,50.0,50.0,100
50,n_edges,7.96,9.456887821726937,0.0,31.52499999999999,100
50,lcc_nodes,7.46,9.153483633364,1.0,30.099999999999966,100
50,lcc_ratio,0.1492,0.18306967266728003,0.02,0.6019999999999993,100
50,avg_shortest_path_lcc,1.427630385149152,0.38173708824621944,1.0,2.0354334677419352,94
50,diameter_lcc,1.8085106382978724,0.7225491871440995,1.0,3.674999999999997,94
50,degree_assortativity_ud,-0.666839632702198,0.2512396292655293,-1.0,-0.2500000000000021,62
50,avg_clustering_ud,0.0,0.0,0.0,0.0,100
50,modularity_ud,0.368862082583949,0.25557531025153,0.0,0.7215,94
100,n_nodes,100.0,0.0,100.0,100.0,100
100,n_edges,29.53,23.80453016897533,4.475,72.52499999999999,100
100,lcc_nodes,21.98,22.761823434439652,3.0,64.0,100
100,lcc_ratio,0.21980000000000005,0.22761823434439651,0.03,0.64,100
100,avg_shortest_path_lcc,1.8327780998332508,0.36652875048907313,1.3333333333333333,2.75969742063492,100
100,diameter_lcc,2.84,1.253036715384274,2.0,6.0,100
100,degree_assortativity_ud,-0.4878370704603268,0.17973125262941947,-0.837219382492071,-0.2000000000000004,100
100,avg_clustering_ud,0.0,0.0,0.0,0.0,100
100,modularity_ud,0.605404375963242,0.22703022989567573,0.1261735278676311,0.8616944444444444,100
150,n_nodes,150.0,0.0,150.0,150.0,100
150,n_edges,60.62,33.94849931971376,17.425,117.0,100
150,lcc_nodes,40.87,34.7936645225692,4.95,99.52499999999999,100
150,lcc_ratio,0.27246666666666663,0.23195776348379468,0.033,0.6635,100
150,avg_shortest_path_lcc,2.145008583593673,0.3609102099251985,1.5791666666666666,2.900393939393939,100
150,diameter_lcc,3.76,1.6643620429765305,2.0,7.0,100
150,degree_assortativity_ud,-0.4661375368239869,0.11886180616319125,-0.7040047950395985,-0.2478255169209794,100
150,avg_clustering_ud,0.0,0.0,0.0,0.0,100
150,modularity_ud,0.6531616263212456,0.1958062186168042,0.28201726585629067,0.8980007561436673,100
200,n_nodes,200.0,0.0,200.0,200.0,100
200,n_edges,124.49,45.71066117936324,38.8,176.0,100
200,lcc_nodes,89.3,50.35018782627741,6.0,142.575,100
200,lcc_ratio,0.44650000000000006,0.251750939131387,0.03,0.7128749999999998,100
200,avg_shortest_path_lcc,2.459861876585633,0.38958240754778933,1.7808333333333333,3.0475731975324774,100
200,diameter_lcc,5.28,1.7757058633488014,2.0,8.0,100
200,degree_assortativity_ud,-0.46045539421748105,0.07874174443662915,-0.6107499648638116,-0.3157681050862506,100
200,avg_clustering_ud,0.0,0.0,0.0,0.0,100
200,modularity_ud,0.6328105543675179,0.16693390179568443,0.3909772174213101,0.9224897454627184,100
250,n_nodes,250.0,0.0,250.0,250.0,100
250,n_edges,186.39,48.31690316352168,90.325,230.0,100
250,lcc_nodes,130.43,57.28543718198643,27.475,182.0,100
250,lcc_ratio,0.5217200000000001,0.22914174872794568,0.1099,0.728,100
250,avg_shortest_path_lcc,2.6676912337854803,0.34585342759303833,2.052835690449706,3.1646225689595853,100
250,diameter_lcc,6.19,1.535407029902738,3.0,8.0,100
250,degree_assortativity_ud,-0.4231001809077589,0.053753412826902464,-0.4975043161155884,-0.301389386972892,100
250,avg_clustering_ud,0.0,0.0,0.0,0.0,100
250,modularity_ud,0.6517962697684133,0.12636363353113209,0.5149323095544298,0.882682819859535,100
300,n_nodes,300.0,0.0,300.0,300.0,100
300,n_edges,273.74,28.554615399372143,146.0,287.0,100
300,lcc_nodes,203.92,34.98561897913964,40.475,219.0,100
300,lcc_ratio,0.6797333333333333,0.11661872993046545,0.13491666666666666,0.73,100
300,avg_shortest_path_lcc,2.9719436445266423,0.19471792001724872,2.251060037523452,3.091802016575098,99
300,diameter_lcc,7.585858585858586,0.9690106569421039,4.0,8.0,99
300,degree_assortativity_ud,-0.40892857614062267,0.020217786670891694,-0.4384695854217012,-0.346421734629893,100
300,avg_clustering_ud,0.0,0.0,0.0,0.0,100
300,modularity_ud,0.6396316322313149,0.054239250702192404,0.5780603453657805,0.8807565483785649,100
316,n_nodes,316.0,0.0,316.0,316.0,100
316,n_edges,304.0,0.0,304.0,304.0,100
316,lcc_nodes,227.0,0.0,227.0,227.0,100
316,lcc_ratio,0.7183544303797469,0.0,0.7183544303797469,0.7183544303797469,100
316,avg_shortest_path_lcc,3.0591399945421225,4.463492204246288e-16,3.059139994542123,3.059139994542123,99
316,diameter_lcc,8.0,0.0,8.0,8.0,99
316,degree_assortativity_ud,-0.3980260873706603,5.579080615598709e-17,-0.39802608737066036,-0.39802608737066036,100
316,avg_clustering_ud,0.0,0.0,0.0,0.0,100
316,modularity_ud,0.6447569830399082,0.0026403879854822983,0.6401417225429381,0.6488445265158307,100
