N,replica,metric,value
50,18,diameter_lcc,2.0
50,18,degree_assortativity_ud,-1.0
50,18,avg_clustering_ud,0.0
50,18,modularity_ud,0.0
50,19,n_nodes,50.0
50,19,n_edges,2.0
50,19,lcc_nodes,2.0
50,19,lcc_ratio,0.04
50,19,avg_shortest_path_lcc,1.0
50,19,diameter_lcc,1.0
50,19,degree_assortativity_ud,
50,19,avg_clustering_ud,0.0
50,19,modularity_ud,0.5
50,20,n_nodes,50.0
50,20,n_edges,5.0
50,20,lcc_nodes,3.0
50,20,lcc_ratio,0.06
50,20,avg_shortest_path_lcc,1.3333333333333333
50,20,diameter_lcc,2.0
50,20,degree_assortativity_ud,-0.6666666666666686
50,20,avg_clustering_ud,0.0
50,20,modularity_ud,0.6111111111111112
50,21,n_nodes,50.0
50,21,n_edges,6.0
50,21,lcc_nodes,5.0
50,21,lcc_ratio,0.1
50,21,avg_shortest_path_lcc,1.6
50,21,diameter_lcc,2.0
50,21,degree_assortativity_ud,-0.5
50,21,avg_clustering_ud,0.0
50,21,modularity_ud,0.5
50,22,n_nodes,50.0
50,22,n_edges,2.0
50,22,lcc_nodes,2.0
50,22,lcc_ratio,0.04
50,22,avg_shortest_path_lcc,1.0
50,22,diameter_lcc,1.0
50,22,degree_assortativity_ud,
50,22,avg_clustering_ud,0.0
50,22,modularity_ud,0.5
50,23,n_nodes,50.0
50,23,n_edges,26.0
50,23,lcc_nodes,27.0
50,23,lcc_ratio,0.54
50,23,avg_shortest_path_lcc,1.9259259259259258
50,23,diameter_lcc,2.0
50,23,degree_assortativity_ud,-1.0
50,23,avg_clustering_ud,0.0
50,23,modularity_ud,1.1102230246251565e-16
50,24,n_nodes,50.0
50,24,n_edges,1.0
50,24,lcc_nodes,2.0
50,24,lcc_ratio,0.04
50,24,avg_shortest_path_lcc,1.0
50,24,diameter_lcc,1.0
50,24,degree_assortativity_ud,
50,24,avg_clustering_ud,0.0
50,24,modularity_ud,0.0
50,25,n_nodes,50.0
50,25,n_edges,2.0
50,25,lcc_nodes,3.0
50,25,lcc_ratio,0.06
50,25,avg_shortest_path_lcc,1.3333333333333333
50,25,diameter_lcc,2.0
50,25,degree_assortativity_ud,-1.0
50,25,avg_clustering_ud,0.0
50,25,modularity_ud,0.0
50,26,n_nodes,50.0
50,26,n_edges,4.0
50,26,lcc_nodes,4.0
50,26,lcc_ratio,0.08
50,26,avg_shortest_path_lcc,1.5
50,26,diameter_lcc,2.0
50,26,degree_assortativity_ud,-0.6
50,26,avg_clustering_ud,0.0
50,26,modularity_ud,0.375
50,27,n_nodes,50.0
50,27,n_edges,2.0
50,27,lcc_nodes,2.0
50,27,lcc_ratio,0.04
50,27,avg_shortest_path_lcc,1.0
50,27,diameter_lcc,1.0
50,27,degree_assortativity_ud,
50,27,avg_clustering_ud,0.0
50,27,modularity_ud,0.5
50,28,n_nodes,50.0
50,28,n_edges,27.0
50,28,lcc_nodes,21.0
50,28,lcc_ratio,0.42
50,28,avg_shortest_path_lcc,1.9047619047619047
50,28,diameter_lcc,2.0
50,28,degree_assortativity_ud,-0.7312510875239259
50,28,avg_clustering_ud,0.0
50,28,modularity_ud,0.4066666666666666
50,29,n_nodes,50.0
50,29,n_edges,1.0
50,29,lcc_nodes,2.0
50,29,lcc_ratio,0.04
50,29,avg_shortest_path_lcc,1.0
50,29,diameter_lcc,1.0
50,29,degree_assortativity_ud,
50,29,avg_clustering_ud,0.0
50,29,modularity_ud,0.0
50,30,n_nodes,50.0
50,30,n_edges,3.0
50,30,lcc_nodes,3.0
50,30,lcc_ratio,0.06
50,30,avg_shortest_path_lcc,1.3333333333333333
50,30,diameter_lcc,2.0
50,30,degree_assortativity_ud,-0.4999999999999998
50,30,avg_clustering_ud,0.0
50,30,modularity_ud,0.4444444444444444
50,31,n_nodes,50.0
50,31,n_edges,7.0
50,31,lcc_nodes,5.0
50,31,lcc_ratio,0.1
50,31,avg_shortest_path_lcc,1.6
50,31,diameter_lcc,2.0
50,31,degree_assortativity_ud,-0.4000000000000004
50,31,avg_clustering_ud,0.0
50,31,modularity_ud,0.6122448979591837
50,32,n_nodes,50.0
50,32,n_edges,2.0
50,32,lcc_nodes,3.0
50,32,lcc_ratio,0.06
50,32,avg_shortest_path_lcc,1.3333333333333333
50,32,diameter_lcc,2.0
50,32,degree_assortativity_ud,-1.0
50,32,avg_clustering_ud,0.0
50,32,modularity_ud,0.0
50,33,n_nodes,50.0
50,33,n_edges,2.0
50,33,lcc_nodes,2.0
50,33,lcc_ratio,0.04
50,33,avg_shortest_path_lcc,1.0
50,33,diameter_lcc,1.0
50,33,degree_assortativity_ud,
50,33,avg_clustering_ud,0.0
50,33,modularity_ud,0.5
50,34,n_nodes,50.0
50,34,n_edges,32.0
50,34,lcc_nodes,26.0
50,34,lcc_ratio,0.52
50,34,avg_shortest_path_lcc,1.9938461538461538
50,34,diameter_lcc,3.0
50,34,degree_assortativity_ud,-0.70262002925921
50,34,avg_clustering_ud,0.0
50,34,modularity_ud,0.30243261012491773
50,35,n_nodes,50.0
50,35,n_edges,5.0
50,35,lcc_nodes,3.0
50,35,lcc_ratio,0.06
50,35,avg_shortest_path_lcc,1.3333333333333333
50,35,diameter_lcc,2.0
50,35,degree_assortativity_ud,-0.6666666666666686
50,35,avg_clustering_ud,0.0
50,35,modularity_ud,0.64
50,36,n_nodes,50.0
50,36,n_edges,3.0
50,36,lcc_nodes,3.0
50,36,lcc_ratio,0.06
50,36,avg_shortest_path_lcc,1.3333333333333333
50,36,diameter_lcc,2.0
50,36,degree_assortativity_ud,-0.4999999999999998
50,36,avg_clustering_ud,0.0
50,36,modularity_ud,0.4444444444444444
50,37,n_nodes,50.0
50,37,n_edges,4.0
50,37,lcc_nodes,2.0
50,37,lcc_ratio,0.04
50,37,avg_shortest_path_lcc,1.0
50,37,diameter_lcc,1.0
50,37,degree_assortativity_ud,
50,37,avg_clustering_ud,0.0
50,37,modularity_ud,0.75
50,38,n_nodes,50.0
50,38,n_edges,3.0
50,38,lcc_nodes,2.0
50,38,lcc_ratio,0.04
50,38,avg_shortest_path_lcc,1.0
50,38,diameter_lcc,1.0
50,38,degree_assortativity_ud,
50,38,avg_clustering_ud,0.0
50,38,modularity_ud,0.6666666666666666
50,39,n_nodes,50.0
50,39,n_edges,0.0
50,39,lcc_nodes,1.0
50,39,lcc_ratio,0.02
50,39,avg_shortest_path_lcc,
50,39,diameter_lcc,
50,39,degree_assortativity_ud,
50,39,avg_clustering_ud,0.0
50,39,modularity_ud,
50,40,n_nodes,50.0
50,40,n_edges,4.0
50,40,lcc_nodes,2.0
50,40,lcc_ratio,0.04
50,40,avg_shortest_path_lcc,1.0
50,40,diameter_lcc,1.0
50,40,degree_assortativity_ud,
50,40,avg_clustering_ud,0.0
50,40,modularity_ud,0.72
50,41,n_nodes,50.0
50,41,n_edges,5.0
50,41,lcc_nodes,3.0
50,41,lcc_ratio,0.06
50,41,avg_shortest_path_lcc,1.3333333333333333
50,41,diameter_lcc,2.0
50,41,degree_assortativity_ud,-0.2500000000000021
50,41,avg_clustering_ud,0.0
50,41,modularity_ud,0.72
50,42,n_nodes,50.0
50,42,n_edges,8.0
50,42,lcc_nodes,5.0
50,42,lcc_ratio,0.1
50,42,avg_shortest_path_lcc,1.6
50,42,diameter_lcc,2.0
50,42,degree_assortativity_ud,-0.3333333333333333
50,42,avg_clustering_ud,0.0
50,42,modularity_ud,0.6419753086419753
50,43,n_nodes,50.0
50,43,n_edges,3.0
50,43,lcc_nodes,3.0
50,43,lcc_ratio,0.06
50,43,avg_shortest_path_lcc,1.3333333333333333
50,43,diameter_lcc,2.0
50,43,degree_assortativity_ud,-0.4999999999999998
50,43,avg_clustering_ud,0.0
50,43,modularity_ud,0.4444444444444444
50,44,n_nodes,50.0
50,44,n_edges,1.0
50,44,lcc_nodes,2.0
50,44,lcc_ratio,0.04
50,44,avg_shortest_path_lcc,1.0
50,44,diameter_lcc,1.0
50,44,degree_assortativity_ud,
50,44,avg_clustering_ud,0.0
50,44,modularity_ud,0.0
50,45,n_nodes,50.0
50,45,n_edges,3.0
50,45,lcc_nodes,2.0
50,45,lcc_ratio,0.04
50,45,avg_shortest_path_lcc,1.0
50,45,diameter_lcc,1.0
50,45,degree_assortativity_ud,
50,45,avg_clustering_ud,0.0
50,45,modularity_ud,0.6666666666666666
50,46,n_nodes,50.0
50,46,n_edges,5.0
50,46,lcc_nodes,4.0
50,46,lcc_ratio,0.08
50,46,avg_shortest_path_lcc,1.5
50,46,diameter_lcc,2.0
50,46,degree_assortativity_ud,-0.42857142857142844
50,46,avg_clustering_ud,0.0
50,46,modularity_ud,0.5
50,47,n_nodes,50.0
50,47,n_edges,2.0
50,47,lcc_nodes,2.0
50,47,lcc_ratio,0.04
50,47,avg_shortest_path_lcc,1.0
50,47,diameter_lcc,1.0
50,47,degree_assortativity_ud,
50,47,avg_clustering_ud,0.0
50,47,modularity_ud,0.5
50,48,n_nodes,50.0
50,48,n_edges,6.0
50,48,lcc_nodes,6.0
50,48,lcc_ratio,0.12
50,48,avg_shortest_path_lcc,1.8666666666666667
50,48,diameter_lcc,3.0
50,48,degree_assortativity_ud,-0.47692307692307695
50,48,avg_clustering_ud,0.0
50,48,modularity_ud,0.2857142857142857
50,49,n_nodes,50.0
50,49,n_edges,2.0
50,49,lcc_nodes,3.0
50,49,lcc_ratio,0.06
