src,dst,timestamp,type
140962831.0,nan,2021-03-04 23:59:04,retweet
140962831.0,nan,2021-03-04 23:59:04,reply
1.3096952250618348e+18,nan,2021-03-04 23:58:46,retweet
1.3096952250618348e+18,nan,2021-03-04 23:58:46,reply
1.1513255790456791e+18,nan,2021-03-04 23:58:17,retweet
1.1513255790456791e+18,nan,2021-03-04 23:58:17,reply
161870246.0,nan,2021-03-04 23:58:07,retweet
161870246.0,nan,2021-03-04 23:58:07,reply
1.3060899709276283e+18,nan,2021-03-04 23:57:55,retweet
1.3060899709276283e+18,nan,2021-03-04 23:57:55,reply
364683554.0,nan,2021-03-04 23:57:52,retweet
364683554.0,nan,2021-03-04 23:57:52,reply
83764064.0,nan,2021-03-04 23:47:32,retweet
83764064.0,nan,2021-03-04 23:47:32,reply
83764064.0,nan,2021-03-04 23:57:49,retweet
83764064.0,nan,2021-03-04 23:57:49,reply
1656401389.0,nan,2021-03-04 23:57:26,retweet
1656401389.0,nan,2021-03-04 23:57:26,reply
1.3060899709276283e+18,nan,2021-03-04 23:57:25,retweet
1.3060899709276283e+18,nan,2021-03-04 23:57:25,reply
1.3060899709276283e+18,nan,2021-03-04 23:56:50,retweet
1.3060899709276283e+18,nan,2021-03-04 23:56:50,reply
1.2479100566345236e+18,nan,2021-03-04 23:55:51,retweet
1.2479100566345236e+18,nan,2021-03-04 23:55:51,reply
7.064898537483551e+17,136802851,2021-03-04 23:55:46,mention
7.064898537483551e+17,nan,2021-03-04 23:55:46,retweet
7.064898537483551e+17,1.367624225754919e+18,2021-03-04 23:55:46,reply
1520587034.0,nan,2021-03-04 23:55:45,retweet
1520587034.0,nan,2021-03-04 23:55:45,reply
1.3096952250618348e+18,nan,2021-03-04 23:55:43,retweet
1.3096952250618348e+18,nan,2021-03-04 23:55:43,reply
8.273196950827131e+17,nan,2021-03-04 23:55:41,retweet
8.273196950827131e+17,nan,2021-03-04 23:55:41,reply
9.679612794649846e+17,nan,2021-03-04 23:55:33,retweet
9.679612794649846e+17,nan,2021-03-04 23:55:33,reply
7.064898537483551e+17,nan,2021-03-04 23:55:07,retweet
7.064898537483551e+17,1.3676177131374756e+18,2021-03-04 23:55:07,reply
597883246.0,nan,2021-03-04 23:54:56,retweet
597883246.0,nan,2021-03-04 23:54:56,reply
2693276829.0,nan,2021-03-04 23:54:30,retweet
2693276829.0,nan,2021-03-04 23:54:30,reply
1.359031413614469e+18,nan,2021-03-04 23:54:03,retweet
1.359031413614469e+18,nan,2021-03-04 23:54:03,reply
55436971.0,nan,2021-03-04 23:53:44,retweet
55436971.0,nan,2021-03-04 23:53:44,reply
1.3672329972887224e+18,nan,2021-03-04 23:52:41,retweet
1.3672329972887224e+18,nan,2021-03-04 23:52:41,reply
1.3672329972887224e+18,nan,2021-03-04 23:52:41,retweet
1.3672329972887224e+18,nan,2021-03-04 23:52:41,reply
923262246.0,nan,2021-03-04 23:52:32,retweet
923262246.0,nan,2021-03-04 23:52:32,reply
9.672351634732278e+17,nan,2021-03-04 23:52:17,retweet
9.672351634732278e+17,nan,2021-03-04 23:52:17,reply
1.347637771607937e+18,nan,2021-03-04 23:51:56,retweet
1.347637771607937e+18,nan,2021-03-04 23:51:56,reply
2873635127.0,nan,2021-03-04 23:51:50,retweet
2873635127.0,nan,2021-03-04 23:51:50,reply
84319494.0,nan,2021-03-04 23:51:05,retweet
84319494.0,nan,2021-03-04 23:51:05,reply
1.0440463299687752e+18,nan,2021-03-04 23:51:00,retweet
1.0440463299687752e+18,nan,2021-03-04 23:51:00,reply
1.3605774653626245e+18,nan,2021-03-04 23:50:44,retweet
1.3605774653626245e+18,nan,2021-03-04 23:50:44,reply
1.1244166971617239e+18,nan,2021-03-04 23:50:24,retweet
1.1244166971617239e+18,nan,2021-03-04 23:50:24,reply
55389402.0,nan,2021-03-04 23:50:16,retweet
55389402.0,nan,2021-03-04 23:50:16,reply
1.0585216259587727e+18,nan,2021-03-04 23:49:57,retweet
1.0585216259587727e+18,nan,2021-03-04 23:49:57,reply
282655123.0,nan,2021-03-04 23:49:51,retweet
282655123.0,nan,2021-03-04 23:49:51,reply
nan,nan,2021-03-04 23:49:50,retweet
nan,nan,2021-03-04 23:49:50,reply
1.3589223984651633e+18,nan,2021-03-04 23:49:49,retweet
1.3589223984651633e+18,nan,2021-03-04 23:49:49,reply
1.3623610150070845e+18,nan,2021-03-04 23:49:46,retweet
1.3623610150070845e+18,nan,2021-03-04 23:49:46,reply
9.679612794649846e+17,nan,2021-03-04 23:49:43,retweet
9.679612794649846e+17,nan,2021-03-04 23:49:43,reply
309251100.0,nan,2021-03-04 23:49:39,retweet
309251100.0,nan,2021-03-04 23:49:39,reply
3073189731.0,nan,2021-03-04 23:49:21,retweet
3073189731.0,nan,2021-03-04 23:49:21,reply
3073189731.0,14994303,2021-03-04 23:49:21,mention
3073189731.0,nan,2021-03-04 23:49:21,retweet
3073189731.0,nan,2021-03-04 23:49:21,reply
2453561882.0,nan,2021-03-04 23:48:56,retweet
2453561882.0,nan,2021-03-04 23:48:56,reply
127892875.0,nan,2021-03-04 23:48:44,retweet
127892875.0,nan,2021-03-04 23:48:44,reply
3536042237.0,nan,2021-03-04 23:48:26,retweet
3536042237.0,nan,2021-03-04 23:48:26,reply
7.064898537483551e+17,1307204548268822528,2021-03-04 23:47:53,mention
7.064898537483551e+17,nan,2021-03-04 23:47:53,retweet
7.064898537483551e+17,1.3675906297194373e+18,2021-03-04 23:47:53,reply
58900872.0,nan,2021-03-04 23:47:47,retweet
58900872.0,nan,2021-03-04 23:47:47,reply
7.064898537483551e+17,2890762929,2021-03-04 23:47:36,mention
7.064898537483551e+17,nan,2021-03-04 23:47:36,retweet
7.064898537483551e+17,1.3676224953024758e+18,2021-03-04 23:47:36,reply
1.2850048245437358e+18,nan,2021-03-04 23:47:29,retweet
1.2850048245437358e+18,nan,2021-03-04 23:47:29,reply
1.3317631740775916e+18,14994303,2021-03-04 23:47:06,mention
1.3317631740775916e+18,nan,2021-03-04 23:47:06,retweet
1.3317631740775916e+18,nan,2021-03-04 23:47:06,reply
409989376.0,nan,2021-03-04 23:47:05,retweet
409989376.0,nan,2021-03-04 23:47:05,reply
7.064898537483551e+17,nan,2021-03-04 23:47:00,retweet
7.064898537483551e+17,1.3676224219273134e+18,2021-03-04 23:47:00,reply
7.064898537483551e+17,1492483633256583173,2021-03-04 23:46:42,mention
7.064898537483551e+17,nan,2021-03-04 23:46:42,retweet
7.064898537483551e+17,nan,2021-03-04 23:46:42,reply
132699857.0,nan,2021-03-04 22:49:35,retweet
132699857.0,nan,2021-03-04 22:49:35,reply
132699857.0,nan,2021-03-04 23:46:35,retweet
132699857.0,nan,2021-03-04 23:46:35,reply
1.3542691606588416e+18,nan,2021-03-04 23:44:34,retweet
1.3542691606588416e+18,nan,2021-03-04 23:44:34,reply
1.346169678704554e+18,179185127,2021-03-04 23:43:59,mention
1.346169678704554e+18,nan,2021-03-04 23:43:59,retweet
1.346169678704554e+18,nan,2021-03-04 23:43:59,reply
1.1795807358769357e+18,nan,2021-03-04 23:43:12,retweet
1.1795807358769357e+18,nan,2021-03-04 23:43:12,reply
8.336825160285594e+17,14994303,2021-03-04 23:43:00,mention
8.336825160285594e+17,nan,2021-03-04 23:43:00,retweet
8.336825160285594e+17,nan,2021-03-04 23:43:00,reply
7.064898537483551e+17,nan,2021-03-04 23:42:57,retweet
7.064898537483551e+17,1.3676175535735685e+18,2021-03-04 23:42:57,reply
8.648953443914097e+17,nan,2021-03-04 23:42:52,retweet
8.648953443914097e+17,nan,2021-03-04 23:42:52,reply
1.0882926376423178e+18,nan,2021-03-04 23:42:41,retweet
1.0882926376423178e+18,nan,2021-03-04 23:42:41,reply
7.064898537483551e+17,789995979567169536,2021-03-04 23:42:32,mention
7.064898537483551e+17,nan,2021-03-04 23:42:32,retweet
7.064898537483551e+17,1.3676173694478172e+18,2021-03-04 23:42:32,reply
213368679.0,nan,2021-03-04 23:42:21,retweet
213368679.0,nan,2021-03-04 23:42:21,reply
2872972583.0,nan,2021-03-04 23:42:06,retweet
2872972583.0,nan,2021-03-04 23:42:06,reply
1.361459461064446e+18,nan,2021-03-04 23:41:58,retweet
1.361459461064446e+18,nan,2021-03-04 23:41:58,reply
7.064898537483551e+17,789995979567169536,2021-03-04 23:41:02,mention
7.064898537483551e+17,nan,2021-03-04 23:41:02,retweet
7.064898537483551e+17,1.3676163756032164e+18,2021-03-04 23:41:02,reply
1.30377293286758e+18,nan,2021-03-04 23:41:00,retweet
1.30377293286758e+18,nan,2021-03-04 23:41:00,reply
34021358.0,nan,2021-03-04 23:40:24,retweet
34021358.0,nan,2021-03-04 23:40:24,reply
1.2610558196443914e+18,nan,2021-03-04 23:39:51,retweet
1.2610558196443914e+18,nan,2021-03-04 23:39:51,reply
1.2081584628798956e+18,nan,2021-03-04 23:39:03,retweet
