source,target,type,weight
1.2835672279466353e+18,1.3675804755906478e+18,reply,1
1.2835672279466353e+18,1.367580675520426e+18,reply,1
1.2835672279466353e+18,1.3675821076656538e+18,reply,1
1.2835672279466353e+18,1.3675829355625308e+18,reply,1
1.2835672279466353e+18,1.3675830415777464e+18,reply,1
1.2835672279466353e+18,1.3675830441698386e+18,reply,1
1.2835672279466353e+18,1.3675832191855165e+18,reply,1
1.2835672279466353e+18,1.367583968615301e+18,reply,1
1.2835672279466353e+18,1.3675843035220173e+18,reply,1
1.2835672279466353e+18,1.3675844345690276e+18,reply,1
1.2835672279466353e+18,1.3675845452650947e+18,reply,1
1.2835672279466353e+18,1.3675848184988385e+18,reply,1
1.2835672279466353e+18,1.3675850753117716e+18,reply,1
1.2835672279466353e+18,1.367585557556134e+18,reply,1
1.2835672279466353e+18,1.3675856213388206e+18,reply,1
1.2835672279466353e+18,1.3675860729396183e+18,reply,1
1.2835672279466353e+18,1.3675867986422047e+18,reply,1
1.2835672279466353e+18,1.367587270027477e+18,reply,1
1.2835672279466353e+18,1.367587476651397e+18,reply,1
1.2835672279466353e+18,1.3675891520619356e+18,reply,1
1.2835672279466353e+18,1.3675894172468593e+18,reply,1
1.2835672279466353e+18,1.3675894317801185e+18,reply,1
1.2835672279466353e+18,1.3675902696552858e+18,reply,1
1.2835672279466353e+18,1.367590920422531e+18,reply,1
1.2835672279466353e+18,1.3675912542304092e+18,reply,1
1.2835672279466353e+18,1.3675918571195884e+18,reply,1
1.2835672279466353e+18,1.3675942563748987e+18,reply,1
1.2835672279466353e+18,1.3675949629767311e+18,reply,1
1.2835672279466353e+18,1.367595258792534e+18,reply,1
1.2835672279466353e+18,1.367596227672617e+18,reply,1
1.2835672279466353e+18,1.3676151750508626e+18,reply,1
1.2835672279466353e+18,1.3676163756032164e+18,reply,1
1.2835672279466353e+18,1.3676164761532826e+18,reply,1
1.2835672279466353e+18,1.367616868417237e+18,reply,1
1.2835672279466353e+18,1.3676173694478172e+18,reply,1
1.2835672279466353e+18,1.3676174571925996e+18,reply,1
1.2835672279466353e+18,1.3676177131374756e+18,reply,1
1.2835672279466353e+18,1.367617789087867e+18,reply,1
1.2835672279466353e+18,1.3676181109797724e+18,reply,1
1.2835672279466353e+18,1.3676192634947666e+18,reply,1
1.2835672279466353e+18,1121776106372255744,mention,1
1.2835672279466353e+18,1159210901825904640,mention,2
1.2835672279466353e+18,1190500261976051714,mention,1
1.2835672279466353e+18,1216971385777664005,mention,1
1.2835672279466353e+18,1218728638511828992,mention,1
1.2835672279466353e+18,1225034983695355906,mention,1
1.2835672279466353e+18,1255578234785280000,mention,1
1.2835672279466353e+18,1278541324187295744,mention,1
1.2835672279466353e+18,1287880838634446848,mention,1
1.2835672279466353e+18,1289617537592963074,mention,1
1.2835672279466353e+18,1304513815992729601,mention,1
1.2835672279466353e+18,1310275768191193088,mention,1
1.2835672279466353e+18,1331216356382007298,mention,1
1.2835672279466353e+18,1336358437693874177,mention,1
1.2835672279466353e+18,1346977692919492609,mention,2
1.2835672279466353e+18,1360818391049793539,mention,2
1.2835672279466353e+18,1367572452423917573,mention,1
1.2835672279466353e+18,136802851,mention,4
1.2835672279466353e+18,1369474982728830977,mention,1
1.2835672279466353e+18,1372051186749210624,mention,1
1.2835672279466353e+18,140519299,mention,1
1.2835672279466353e+18,1499173722732863489,mention,1
1.2835672279466353e+18,15292534,mention,4
1.2835672279466353e+18,1559290182054121474,mention,1
1.2835672279466353e+18,1564816840098021377,mention,3
1.2835672279466353e+18,1599378950970482689,mention,1
1.2835672279466353e+18,1601216992731619328,mention,1
1.2835672279466353e+18,1657110495877386255,mention,1
1.2835672279466353e+18,16725544,mention,1
1.2835672279466353e+18,1683696495198089217,mention,1
1.2835672279466353e+18,1732087596874878976,mention,1
1.2835672279466353e+18,179185127,mention,4
1.2835672279466353e+18,1836330063337271297,mention,1
1.2835672279466353e+18,1849697408,mention,1
1.2835672279466353e+18,1924312979262328832,mention,1
1.2835672279466353e+18,22548403,mention,1
1.2835672279466353e+18,231579149,mention,1
1.2835672279466353e+18,2319405002,mention,2
1.2835672279466353e+18,24920669,mention,1
1.2835672279466353e+18,26087593,mention,1
1.2835672279466353e+18,275220311,mention,2
1.2835672279466353e+18,2834472257,mention,1
1.2835672279466353e+18,2921763658,mention,1
1.2835672279466353e+18,3073189731,mention,1
1.2835672279466353e+18,36889519,mention,1
1.2835672279466353e+18,408177579,mention,1
1.2835672279466353e+18,44208467,mention,1
1.2835672279466353e+18,4702396335,mention,1
1.2835672279466353e+18,475820441,mention,1
1.2835672279466353e+18,511577335,mention,2
1.2835672279466353e+18,52055709,mention,1
1.2835672279466353e+18,59591856,mention,1
1.2835672279466353e+18,718474965557846016,mention,1
1.2835672279466353e+18,73502963,mention,1
1.2835672279466353e+18,789995979567169536,mention,7
1.2835672279466353e+18,886092662708817920,mention,2
1.2835672279466353e+18,90676816,mention,1
1.2835672279466353e+18,988439609842520069,mention,1
1.2835672279466353e+18,995853025,mention,1
1.2970378924900762e+18,1.3675792959677645e+18,reply,1
1.2990584498258903e+18,1.367565578983125e+18,reply,1
1.2990584498258903e+18,1.3676025105135165e+18,reply,1
1.2990584498258903e+18,1.3676206226800026e+18,reply,1
1.2990584498258903e+18,1.3676224177456701e+18,reply,1
1.2990584498258903e+18,1.3676243852852593e+18,reply,1
1.3095003140437238e+18,14994303,mention,1
1.3118884349702185e+18,1.367471457299759e+18,reply,1
1.3298023148619735e+18,1.367608186124071e+18,reply,1
1.3317631740775916e+18,14994303,mention,1
1.332164554298708e+18,14994303,mention,1
1.3402745204484956e+18,1492483633256583173,mention,1
1.346169678704554e+18,179185127,mention,2
1.3491650881676452e+18,14994303,mention,1
1.3511813499783332e+18,14994303,mention,1
1.3549896467328e+18,1.3675222055973888e+18,reply,1
1.3549896467328e+18,1.367620628619141e+18,reply,1
1.3549896467328e+18,1356639005652246528,mention,1
1.3549896467328e+18,76680657,mention,1
1.3553740804390502e+18,14994303,mention,1
1.3555607070650737e+18,1.367608186124071e+18,reply,1
1.357451706553008e+18,1.367605778312495e+18,reply,2
1.357451706553008e+18,50467662,mention,1
1.358002340930986e+18,1.3675168394970644e+18,reply,1
1.358002340930986e+18,1.3676014887642808e+18,reply,1
1.358002340930986e+18,1.3676143785776497e+18,reply,1
1.3588127494852567e+18,1681142560469798912,mention,1
1.3589371022227784e+18,1.367612159497302e+18,reply,1
