tweet_id,user_id,created_at,text,reply_to,retweet_of,mentions_json
1367624756552470532,1299058449825890309,,@chasempty ameei vamo\nGilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale  https://t.co/4UVeofhTbS,1367624385285259271,,[]
1367624754228826129,883835017599864832,,@vaidesmaiar Gilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale\nMentindo não está  https://t.co/sLg5d0ZxW3,1367616868417236999,,[]
1367624679779934214,706489853748355073,Thu Mar 04 23:55:07 +0000 2021,"@PortalTracklist Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367617713137475587,,[]
1367624664114225153,1280651303170039808,,o louis é tao lindo\n\njuliette sarah lumena paredao big brother brasil bbb gil g3 projota arthur rodolffo rafael portugal\n#BBB21 #RedeBBB #CATBBB\n https://t.co/65FpNWYSIw,,,[]
1367624634150092800,597883246,Thu Mar 04 23:54:56 +0000 2021,"A chance da pessoa se queimar num paredão falso é muito maior do que dar bom, na minha opinião. \nPra voltar se achando é um pulo.. #BBB21",,,[]
1367624558686179329,883835017599864832,,Gilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale que dia em https://t.co/sLg5d0ZxW3,,,[]
1367624525073035264,2693276829,Thu Mar 04 23:54:30 +0000 2021,Camila desconfiada dos agroboys!! Finalmente alguém desconfia deles! Assim ela já passa a ser uma boa opcao pro paredão falso  #BBB21,,,[]
1367624410400755712,1359031413614469121,Thu Mar 04 23:54:03 +0000 2021,gente será que nunca teremos a vitória num paredão? 😭😭😭😭 #bbb #bbb21 #RedeBBB,,,[]
1367624330260213766,55436971,Thu Mar 04 23:53:44 +0000 2021,Eu acho que se as plantas se organizaram elas colocam 3 fortes no paredão! Óbvios elas teriam que ganhar o líder #BBB21,,,[]
1367623200377626627,1367232997288722437,Thu Mar 04 23:52:41 +0000 2021,"Todo mundo animado pra prova do líder!! Será que o João,Camilla, juliette ou Gil ganham a prova do líder??? eu estou torcendo prós três!! 🌵🎓🌏⭐ #BBB21 https://t.co/43HtBiIWoG",,,[]
1367623200377626627,1367232997288722437,Thu Mar 04 23:52:41 +0000 2021,Tô aqui torcendo...pra Juliette perder essa prova!!! Ñ quero que ela queime gatilho em paredão falso. #bbb21 #Juliette,,,[]
1367624028618432514,923262246,Thu Mar 04 23:52:32 +0000 2021,"boninho que dê um jeito de ter a juliette nesse paredão falso, pq se nao vai ser boroca demais #bbb21",,,[]
1367623967058628610,967235163473227776,Thu Mar 04 23:52:17 +0000 2021,As moscas mortas falando delas próprias... desespero é delas de ir ao paredão. Essas plantas são ervas daninhas e vão chegar na final #bbb21,,,[]
