t_start,t_end,n_nodes,n_edges,density,is_weakly_connected,is_strongly_connected,n_weakly_components,n_strongly_components,peak_mean,peak_median,pagerank_scores,topk_pr_share_k5,topk_pr_share_k10,inferred_leader,inferred_leader_pr,betweenness_centralization,communities,victim_reciprocity,victim_scc_size,victim_ego_density,victim_is_isolated,assort_skeptic,betweenness_share_skeptic,victim_inshare,graph_density,avg_path_len,eff_diameter,median_distance_to_victim,victim_inshare_half_life,case_id,n_communities,modularity,largest_community_size,largest_community_id,avg_community_size,community_size_std,onset_flag,climax_flag
2021-03-04 19:51:49,2021-03-04 20:51:49,20,13,0.034210526315789476,False,False,7,20,13,13,"{1.3118884349702185e+18: 0.03508749920832149, 1.367471457299759e+18: 0.06491250079167854, 1.3549896467328e+18: 0.03508749920832149, 1.3675222055973888e+18: 0.05000000000000001, 76680657.0: 0.05000000000000001, 1.346169678704554e+18: 0.03508749920832149, 179185127.0: 0.06491250079167854, 8.336825160285594e+17: 0.03508749920832149, 14994303.0: 0.15438750554174963, 1.1915251826425733e+18: 0.03508749920832149, 1.3675518246187418e+18: 0.05000000000000001, 511577335.0: 0.05000000000000001, 359786977.0: 0.03508749920832149, 2466270178.0: 0.03508749920832149, 1.3675663797261025e+18: 0.05000000000000001, 1.3469776929194926e+18: 0.05000000000000001, 1.3588127494852567e+18: 0.03508749920832149, 1.681142560469799e+18: 0.06491250079167854, 1.1483622158394532e+18: 0.03508749920832149, 269488929.0: 0.03508749920832149}",0.3991250079167851,0.6491250079167852,14994303.0,0.15438750554174963,0.0,"{1.3118884349702185e+18: 0, 1.367471457299759e+18: 0, 1.3549896467328e+18: 1, 1.3675222055973888e+18: 1, 76680657.0: 1, 1.346169678704554e+18: 2, 179185127.0: 2, 8.336825160285594e+17: 3, 359786977.0: 3, 269488929.0: 3, 1.1483622158394532e+18: 3, 14994303.0: 3, 1.3675518246187418e+18: 4, 1.1915251826425733e+18: 4, 511577335.0: 4, 1.3675663797261025e+18: 5, 1.3469776929194926e+18: 5, 2466270178.0: 5, 1.3588127494852567e+18: 6, 1.681142560469799e+18: 6}",0,0,0.0,False,,0.0,0.0,0.034210526315789476,1.4090909090909092,2.0,,,,7,0.8165680473372782,5,3,2.857142857142857,0.989743318610787,True,
2021-03-04 20:21:49,2021-03-04 21:21:49,13,11,0.07051282051282051,False,False,2,13,11,11,"{1.1483622158394532e+18: 0.04499968067855739, 14994303.0: 0.38350553506886736, 269488929.0: 0.04499968067855739, 31463448.0: 0.04499968067855739, 1372038560.0: 0.04499968067855739, 231844031.0: 0.04499968067855739, 1.141137755512234e+18: 0.04499968067855739, 1.3675816270445363e+18: 0.06412425487566847, 353778904.0: 0.06412425487566847, 210592658.0: 0.04499968067855739, 179185127.0: 0.08324882907277954, 7.028860613122212e+17: 0.04499968067855739, 1.3491650881676452e+18: 0.04499968067855739}",0.6400025545715409,0.8650009579643279,14994303.0,0.38350553506886736,0.09090909090909091,"{1.3491650881676452e+18: 0, 1.1483622158394532e+18: 0, 269488929.0: 0, 7.028860613122212e+17: 0, 1372038560.0: 0, 231844031.0: 0, 31463448.0: 0, 14994303.0: 0, 1.3675816270445363e+18: 1, 1.141137755512234e+18: 1, 353778904.0: 1, 210592658.0: 2, 179185127.0: 2}",0,0,0.0,False,,0.0,0.0,0.07051282051282051,1.9166666666666667,3.0,,,,3,0.39669421487603307,8,0,4.333333333333333,2.6246692913372702,,
2021-03-04 20:51:49,2021-03-04 21:51:49,27,20,0.02849002849002849,False,False,7,27,20,20,"{31463448.0: 0.02470802989327195, 14994303.0: 0.18957414237125694, 1372038560.0: 0.02470802989327195, 231844031.0: 0.02470802989327195, 1.141137755512234e+18: 0.02470802989327195, 1.3675816270445363e+18: 0.03520909741850146, 353778904.0: 0.03520909741850146, 210592658.0: 0.02470802989327195, 179185127.0: 0.04571016494373096, 7.028860613122212e+17: 0.02470802989327195, 1.3491650881676452e+18: 0.02470802989327195, 91996693.0: 0.02470802989327195, 7.899959795671694e+17: 0.06671229999418997, 1.2230202341284168e+18: 0.02470802989327195, 1.3675833718330573e+18: 0.029958563655886703, 1.245340907190268e+18: 0.029958563655886703, 63527966.0: 0.02470802989327195, 1.416938882235515e+18: 0.03520909741850146, 1.367581919840506e+18: 0.03520909741850146, 1.3553740804390502e+18: 0.02470802989327195, 1.2026777578487562e+18: 0.02470802989327195, 1.3675875052859146e+18: 0.029958563655886703, 1.1923955659523604e+18: 0.029958563655886703, 245925923.0: 0.02470802989327195, 1.367589764942033e+18: 0.04571016494373096, 64717337.0: 0.02470802989327195, 1.564816840098021e+18: 0.04571016494373096}",0.3934169371966399,0.5642118905265325,14994303.0,0.18957414237125694,0.04,"{1.3491650881676452e+18: 0, 1.3553740804390502e+18: 0, 1372038560.0: 0, 231844031.0: 0, 7.028860613122212e+17: 0, 31463448.0: 0, 14994303.0: 0, 1.3675816270445363e+18: 1, 1.141137755512234e+18: 1, 353778904.0: 1, 210592658.0: 2, 179185127.0: 2, 7.899959795671694e+17: 3, 1.2026777578487562e+18: 3, 91996693.0: 3, 1.2230202341284168e+18: 4, 1.245340907190268e+18: 4, 1.1923955659523604e+18: 4, 1.3675833718330573e+18: 4, 1.3675875052859146e+18: 4, 1.416938882235515e+18: 5, 1.367581919840506e+18: 5, 63527966.0: 5, 1.367589764942033e+18: 6, 245925923.0: 6, 1.564816840098021e+18: 7, 64717337.0: 7}",0,0,0.0,False,,0.0,0.0,0.02849002849002849,1.7543859649122806,2.700000000000003,,,,8,0.765,7,0,3.375,1.653594569415369,,
2021-03-04 21:21:49,2021-03-04 22:21:49,23,17,0.03359683794466403,False,False,6,23,17,17,"{91996693.0: 0.029368339013613548, 7.899959795671694e+17: 0.07929575481159637, 1.2230202341284168e+18: 0.029368339013613548, 1.3675833718330573e+18: 0.03560926598836141, 1.245340907190268e+18: 0.03560926598836141, 63527966.0: 0.029368339013613548, 1.416938882235515e+18: 0.04185019296310925, 1.367581919840506e+18: 0.04185019296310925, 1.3553740804390502e+18: 0.029368339013613548, 14994303.0: 0.20411429430655342, 1.2026777578487562e+18: 0.029368339013613548, 1.3675875052859146e+18: 0.03560926598836141, 1.1923955659523604e+18: 0.03560926598836141, 245925923.0: 0.029368339013613548, 1.367589764942033e+18: 0.05433204691260496, 64717337.0: 0.029368339013613548, 1.564816840098021e+18: 0.05433204691260496, 1.076986250089894e+18: 0.029368339013613548, 547740143.0: 0.029368339013613548, 568480793.0: 0.029368339013613548, 107516237.0: 0.029368339013613548, 83764064.0: 0.029368339013613548, 3291872936.0: 0.029368339013613548}",0.43392433590646895,0.6182115928230238,14994303.0,0.20411429430655342,0.0,"{7.899959795671694e+17: 0, 1.2026777578487562e+18: 0, 91996693.0: 0, 1.2230202341284168e+18: 1, 1.1923955659523604e+18: 1, 1.245340907190268e+18: 1, 1.3675875052859146e+18: 1, 1.3675833718330573e+18: 1, 1.416938882235515e+18: 2, 1.367581919840506e+18: 2, 63527966.0: 2, 1.3553740804390502e+18: 3, 1.076986250089894e+18: 3, 83764064.0: 3, 3291872936.0: 3, 107516237.0: 3, 547740143.0: 3, 568480793.0: 3, 14994303.0: 3, 1.367589764942033e+18: 4, 245925923.0: 4, 1.564816840098021e+18: 5, 64717337.0: 5}",0,0,0.0,False,,0.0,0.0,0.03359683794466403,1.6304347826086956,2.0,,,,6,0.7404844290657439,8,3,3.8333333333333335,2.1147629234082532,,
2021-03-04 21:51:49,2021-03-04 22:51:49,21,17,0.04047619047619048,False,False,5,21,17,17,"{1.076986250089894e+18: 0.030395337541774307, 14994303.0: 0.26291542358496367, 547740143.0: 0.030395337541774307, 568480793.0: 0.030395337541774307, 107516237.0: 0.030395337541774307, 83764064.0: 0.030395337541774307, 3291872936.0: 0.030395337541774307, 1.0400568272270624e+18: 0.030395337541774307, 3099812141.0: 0.030395337541774307, 1.3676063703637033e+18: 0.04331312009972928, 135008861.0: 0.04331312009972928, 1.357451706553008e+18: 0.030395337541774307, 1.367605778312495e+18: 0.047619047619047596, 50467662.0: 0.03900719258041096, 7.007487710643487e+17: 0.030395337541774307, 410860599.0: 0.030395337541774307, 444968085.0: 0.030395337541774307, 179185127.0: 0.05623090265768425, 1.3555607070650737e+18: 0.030395337541774307, 1.367608186124071e+18: 0.08206646777359418, 1.3298023148619735e+18: 0.030395337541774307}",0.4921449617350192,0.6656512870404825,14994303.0,0.26291542358496367,0.0,"{83764064.0: 0, 1.0400568272270624e+18: 0, 1.076986250089894e+18: 0, 7.007487710643487e+17: 0, 3291872936.0: 0, 107516237.0: 0, 547740143.0: 0, 410860599.0: 0, 568480793.0: 0, 14994303.0: 0, 1.3676063703637033e+18: 1, 135008861.0: 1, 3099812141.0: 1, 1.357451706553008e+18: 2, 1.367605778312495e+18: 2, 50467662.0: 2, 444968085.0: 3, 179185127.0: 3, 1.3555607070650737e+18: 4, 1.367608186124071e+18: 4, 1.3298023148619735e+18: 4}",0,0,0.0,False,,0.0,0.0,0.0380952380952381,1.709090909090909,2.0,,,,5,0.657439446366782,10,0,4.2,2.9257477676655586,,
2021-03-04 22:21:49,2021-03-04 23:21:49,41,31,0.018902439024390243,False,False,12,41,31,31,"{1.0400568272270624e+18: 0.017241563904458017, 14994303.0: 0.11982512187548561, 3099812141.0: 0.017241563904458017, 1.3676063703637033e+18: 0.024568960902388557, 135008861.0: 0.024568960902388557, 1.357451706553008e+18: 0.017241563904458017, 1.367605778312495e+18: 0.030675125067330673, 50467662.0: 0.02579019373537698, 7.007487710643487e+17: 0.017241563904458017, 410860599.0: 0.017241563904458017, 444968085.0: 0.017241563904458017, 179185127.0: 0.031896357900319104, 1.3555607070650737e+18: 0.017241563904458017, 1.367608186124071e+18: 0.046551151896180185, 1.3298023148619735e+18: 0.017241563904458017, 2503052285.0: 0.017241563904458017, 1945948387.0: 0.017241563904458017, 1.3676049748055245e+18: 0.020905262403423285, 339963074.0: 0.020905262403423285, 2806935616.0: 0.017241563904458017, 1.3676105044962386e+18: 0.031896357900319104, 2329312274.0: 0.017241563904458017, 181155828.0: 0.017241563904458017, 1.36761070890138e+18: 0.020905262403423285, 67656004.0: 0.020905262403423285, 7.028860613122212e+17: 0.017241563904458017, 1.3676004980025098e+18: 0.024568960902388557, 1.8136965678929592e+18: 0.024568960902388557, 1.5529898587879995e+18: 0.020905262403423285, 1.367605929827578e+18: 0.020905262403423285, 65749506.0: 0.017241563904458017, 136802851.0: 0.031896357900319104, 1.3402745204484956e+18: 0.017241563904458017, 1.4924836332565832e+18: 0.031896357900319104, 8.925907419895972e+17: 0.017241563904458017, 1.36761308843495e+18: 0.024568960902388557, 2474353003.0: 0.024568960902388557, 1.3589371022227784e+18: 0.017241563904458017, 1.367612159497302e+18: 0.031896357900319104, 32411118.0: 0.017241563904458017, 1.332164554298708e+18: 0.017241563904458017}",0.262065347472623,0.40689234297835736,14994303.0,0.11982512187548561,0.0,"{7.007487710643487e+17: 0, 1.332164554298708e+18: 0, 1.0400568272270624e+18: 0, 32411118.0: 0, 2329312274.0: 0, 410860599.0: 0, 2503052285.0: 0, 14994303.0: 0, 1.3676063703637033e+18: 1, 135008861.0: 1, 3099812141.0: 1, 1.367605778312495e+18: 2, 1.357451706553008e+18: 2, 1.36761070890138e+18: 2, 181155828.0: 2, 67656004.0: 2, 50467662.0: 2, 444968085.0: 3, 179185127.0: 3, 1.367608186124071e+18: 4, 1.3555607070650737e+18: 4, 1.3298023148619735e+18: 4, 1.3676049748055245e+18: 5, 1.367605929827578e+18: 5, 339963074.0: 5, 1945948387.0: 5, 1.5529898587879995e+18: 5, 2806935616.0: 6, 1.3676105044962386e+18: 6, 1.3676004980025098e+18: 7, 7.028860613122212e+17: 7, 1.8136965678929592e+18: 7, 65749506.0: 8, 136802851.0: 8, 1.4924836332565832e+18: 9, 1.3402745204484956e+18: 9, 1.36761308843495e+18: 10, 8.925907419895972e+17: 10, 2474353003.0: 10, 1.3589371022227784e+18: 11, 1.367612159497302e+18: 11}",0,0,0.0,False,,0.0,0.0,0.018292682926829267,1.6,2.0,,,,12,0.8595213319458896,8,0,3.4166666666666665,1.8465433171800283,,
2021-03-04 22:51:49,2021-03-04 23:51:49,56,45,0.01461038961038961,False,False,12,56,45,45,"{2503052285.0: 0.013386957923817071, 14994303.0: 0.1271734834993823, 1945948387.0: 0.013386957923817071, 1.3676049748055245e+18: 0.016231621063206202, 339963074.0: 0.016231621063206202, 2806935616.0: 0.013386957923817071, 1.3676105044962386e+18: 0.02476561048137359, 2329312274.0: 0.013386957923817071, 181155828.0: 0.013386957923817071, 1.36761070890138e+18: 0.016231621063206202, 67656004.0: 0.016231621063206202, 1.367605778312495e+18: 0.016231621063206202, 50467662.0: 0.016231621063206202, 7.028860613122212e+17: 0.013386957923817071, 1.3676004980025098e+18: 0.01907628420259533, 1.8136965678929592e+18: 0.01907628420259533, 1.5529898587879995e+18: 0.016231621063206202, 1.367605929827578e+18: 0.016231621063206202, 65749506.0: 0.013386957923817071, 136802851.0: 0.02476561048137359, 1.3402745204484956e+18: 0.013386957923817071, 1.4924836332565832e+18: 0.025524187318544025, 8.925907419895972e+17: 0.013386957923817071, 1.36761308843495e+18: 0.01907628420259533, 2474353003.0: 0.01907628420259533, 1.3589371022227784e+18: 0.013386957923817071, 1.367612159497302e+18: 0.02476561048137359, 32411118.0: 0.013386957923817071, 1.332164554298708e+18: 0.013386957923817071, 1.3095003140437238e+18: 0.013386957923817071, 359786977.0: 0.013386957923817071, 1.1915251826425733e+18: 0.013386957923817071, 1.3676181109797724e+18: 0.01907628420259533, 511577335.0: 0.01907628420259533, 19450493.0: 0.013386957923817071, 275674562.0: 0.013386957923817071, 1.564816840098021e+18: 0.02476561048137359, 7.064898537483551e+17: 0.013386957923817071, 1.3675992822415524e+18: 0.014145534760987507, 70240510.0: 0.014145534760987507, 1.3676066718712545e+18: 0.014145534760987507, 2310860312.0: 0.014145534760987507, 1.3676163756032164e+18: 0.014145534760987507, 7.899959795671694e+17: 0.01490411159815794, 1.3676173694478172e+18: 0.014145534760987507, 1.3676175535735685e+18: 0.014145534760987507, 8.336825160285594e+17: 0.013386957923817071, 1.346169678704554e+18: 0.013386957923817071, 179185127.0: 0.02476561048137359, 1.3676224219273134e+18: 0.014145534760987507, 1.3317631740775916e+18: 0.013386957923817071, 1.3676224953024758e+18: 0.014145534760987507, 2890762929.0: 0.014145534760987507, 1.3675906297194373e+18: 0.014145534760987507, 1.3072045482688225e+18: 0.014145534760987507, 3073189731.0: 0.013386957923817071}",0.22699450226204723,0.33375457583258045,14994303.0,0.1271734834993823,0.0,"{1.3095003140437238e+18: 0, 359786977.0: 0, 1.332164554298708e+18: 0, 3073189731.0: 0, 8.336825160285594e+17: 0, 1.3317631740775916e+18: 0, 32411118.0: 0, 2503052285.0: 0, 2329312274.0: 0, 19450493.0: 0, 14994303.0: 0, 1.367605929827578e+18: 1, 1.3676049748055245e+18: 1, 339963074.0: 1, 1945948387.0: 1, 1.5529898587879995e+18: 1, 2806935616.0: 2, 1.3676105044962386e+18: 2, 1.36761070890138e+18: 3, 1.367605778312495e+18: 3, 181155828.0: 3, 67656004.0: 3, 50467662.0: 3, 7.028860613122212e+17: 4, 1.8136965678929592e+18: 4, 1.3676004980025098e+18: 4, 65749506.0: 5, 136802851.0: 5, 8.925907419895972e+17: 6, 1.36761308843495e+18: 6, 2474353003.0: 6, 1.3589371022227784e+18: 7, 1.367612159497302e+18: 7, 1.1915251826425733e+18: 8, 1.3676181109797724e+18: 8, 511577335.0: 8, 1.564816840098021e+18: 9, 275674562.0: 9, 7.064898537483551e+17: 10, 1.3675906297194373e+18: 10, 7.899959795671694e+17: 10, 1.3675992822415524e+18: 10, 1.3676066718712545e+18: 10, 1.3676175535735685e+18: 10, 1.3676173694478172e+18: 10, 1.3676163756032164e+18: 10, 1.3676224219273134e+18: 10, 1.3072045482688225e+18: 10, 1.3676224953024758e+18: 10, 1.3402745204484956e+18: 10, 2310860312.0: 10, 2890762929.0: 10, 1.4924836332565832e+18: 10, 70240510.0: 10, 1.346169678704554e+18: 11, 179185127.0: 11}",0,0,0.0,False,,0.0,0.0,0.014285714285714285,1.8516746411483254,2.0,,,,12,0.8,16,10,4.666666666666667,4.20977698010503,,True
